"","ccode","year","ID","Nu_means","Nu_lower_80","Nu_upper_80","Nu_lower_95","Nu_upper_95","ura_i","metal_i","chemi_i","nitric_i","elect_i","nuke_i","explo_i","Non_HWR","HWR","test","reprocess","enrichment","submarines","explore","pursue","possession","Nu_infrastructure","Infrastructure_lower80","Infrastructure_upper80","Infrastructure_lower95","Infrastructure_upper95"
"724",2,1958,21958,2.332446378,2.049737811,2.701586105,1.974537138,3.021956426,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37161677920094,2.05308500850783,2.75254620433401,1.92661223675563,3.04402319183638
"725",2,1959,21959,2.330812706,2.043564137,2.702249075,1.971020958,3.009577266,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37920571826693,2.06192366125083,2.76236744944105,1.93733273589932,3.06581048334901
"726",2,1960,21960,2.337181727,2.050191472,2.712071292,1.977265128,3.00198988,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37827569985975,2.06114600487128,2.7557696205875,1.92545247854199,3.07186944549947
"727",2,1961,21961,2.32847113,2.045556681,2.683576956,1.977037964,3.005049636,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37294988560152,2.05902741908962,2.75613109311191,1.9240925254141,3.0504589501433
"728",2,1962,21962,2.343328636,2.051355119,2.714754744,1.976112484,3.048887349,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37576558439235,2.06032299438893,2.74597239383189,1.93041665528476,3.0559471286672
"729",2,1963,21963,2.579653394,2.121068893,3.149629459,2.019385424,3.575827794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.62529819512964,2.17099086267566,3.16559822116019,2.0364124306532,3.58011173304617
"730",2,1964,21964,2.578600887,2.119722643,3.144002304,2.014899599,3.573149444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.63186792823328,2.18339459145757,3.19124803348318,2.03585852712824,3.62969605515864
"731",2,1965,21965,2.569205473,2.118846589,3.111116804,2.021339864,3.523266194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.63104502724803,2.17359499672302,3.17365633108444,2.03027789502834,3.58582853783229
"732",2,1966,21966,2.572721063,2.112752313,3.135928893,2.019651651,3.575027786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.62654130138146,2.17617410412169,3.17291270479498,2.03002732676623,3.56815368726261
"733",2,1967,21967,2.56978842,2.123736802,3.118057719,2.028681602,3.531962721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.62105938243779,2.17152451029289,3.16305608744108,2.03845507097055,3.56542000529133
